FileA,FileB,AST,LCS,TFIDF,Hybrid,GroundTruth
U7.java,P6.java,50.0000,64.2857,97.6676,70.6511,0
U7.java,02.java,44.4444,61.5385,99.4100,68.4643,0
U7.java,O5.java,54.3478,67.6056,99.7693,73.9076,0
U7.java,P3.java,56.3636,69.7674,99.3411,75.1574,0
U7.java,U6.java,43.9024,57.6271,96.3529,65.9608,0
U5.java,09.java,32.7586,41.5584,96.5098,56.9423,0
U5.java,U2.java,38.7755,47.0588,97.5237,61.1193,0
U5.java,P7.java,31.2500,40.4762,95.5792,55.7684,0
U5.java,P10.java,27.5362,36.3636,94.7033,52.8677,0
U5.java,P2.java,40.4255,48.4848,96.5098,61.8067,0
U5.java,O10.java,38.0000,49.2754,94.3023,60.5259,0
U5.java,P8.java,61.1111,68.9655,98.6870,76.2546,0
U5.java,P5.java,32.8125,40.0000,95.4291,56.0805,0
U5.java,U4.java,86.9565,93.0233,100.0000,93.3266,0
U5.java,U8.java,40.5405,53.8462,97.5237,63.9701,0
U5.java,U1.java,37.2549,48.5714,95.5792,60.4685,0
U5.java,U3.java,25.0000,38.2609,94.7335,52.6648,0
U5.java,U9.java,34.9206,44.7059,94.7419,58.1228,0
U5.java,O7.java,35.2941,46.3768,96.5098,59.3936,0
U5.java,O4.java,20.0000,33.3333,94.0019,49.1118,0
U5.java,U10.java,63.6364,77.7778,95.5317,78.9819,0
U5.java,01.java,60.7143,75.5556,100.0000,78.7566,0
U5.java,O8.java,30.5556,40.4255,92.7554,54.5788,0
U5.java,P9.java,41.1765,58.3333,100.0000,66.5033,0
U5.java,P6.java,44.0000,55.5556,96.1848,65.2468,0
U5.java,02.java,70.9677,71.6981,98.6870,80.4510,0
U5.java,O5.java,34.0909,50.8475,99.5233,61.4872,0
U5.java,P3.java,37.0370,48.6486,96.1763,60.6207,0
U5.java,U6.java,46.8750,63.8298,100.0000,70.2349,0
09.java,U2.java,67.7966,76.7677,90.2227,78.2623,0
09.java,P7.java,71.6418,71.3043,96.7160,79.8874,0
09.java,P10.java,72.4638,72.2689,95.8210,80.1846,0
09.java,P2.java,70.1754,78.3505,95.3443,81.2901,0
09.java,O10.java,69.4915,70.0000,96.9142,78.8019,0
09.java,P8.java,48.3333,53.9326,92.8128,65.0262,0
09.java,P5.java,70.5882,74.1379,96.7911,80.5057,0
09.java,U4.java,34.5455,43.2432,95.9737,57.9208,0
09.java,U8.java,40.6780,50.6024,97.7503,63.0102,0
09.java,U1.java,62.9032,69.3069,95.9452,76.0518,0
09.java,U3.java,47.4747,56.1644,94.2133,65.9508,0
09.java,U9.java,63.3803,65.5172,98.2960,75.7312,0
09.java,O7.java,63.9344,72.0000,94.8811,76.9385,0
09.java,O4.java,42.7273,53.5032,95.4747,63.9017,0
09.java,U10.java,39.3443,49.4118,96.8246,61.8602,0
